P_value,logOR,OR,gene
1.0,0.020411229,1.020620962678202,ENSG00000244752
1.0,-0.018094612,0.9820681125344418,ENSG00000132155
1.0,0.049706335,1.0509624201754233,ENSG00000147124
1.0,0.028990063,1.0294143651337602,ENSG00000126767
1.0,-0.014836803,0.9852727200353554,ENSG00000048545
1.0,0.03008049,1.0305374785770163,ENSG00000126581
1.0,-0.000224375,0.9997756501701878,ENSG00000122126
4.72812e-15,-0.092930917,0.9112564504510893,ENSG00000124664
1.0,0.032005862,1.0325235579404748,ENSG00000019549
1.0,0.009329712,1.0093733694277869,ENSG00000069424
1.0,0.016803339,1.0169453091770444,ENSG00000170734
1.0,-0.021865285,0.9783720275614898,ENSG00000111424
1.0,-0.017657692,0.9824972914857766,ENSG00000241935
1.0,-0.054381156,0.9470710558824885,ENSG00000091140
1.0,0.018638078,1.0188128510987706,ENSG00000132781
1.0,0.029033736,1.02945932372906,ENSG00000120875
0.000225909,-0.05170053,0.9496132049318817,ENSG00000174306
1.0,0.003252237,1.003257531260593,ENSG00000254521
2.07142e-15,-0.113955288,0.8922978514120296,ENSG00000198805
1.0,-0.010867823,0.9891910184360342,ENSG00000073282
1.0,0.046327554,1.0474174405458336,ENSG00000101076
1.0,0.027734825,1.028123015749864,ENSG00000104205
1.0,0.003830894,1.0038382412536069,ENSG00000141867
0.714611797,-0.033716248,0.9668458101506191,ENSG00000135925
1.0,-0.043790452,0.9571545062724933,ENSG00000036257
5.44542e-10,-0.099360744,0.9054160257039714,ENSG00000110330
0.00078473,0.067828383,1.0701816313571382,ENSG00000116701
1.0,0.017276607,1.017426710756624,ENSG00000067955
1.0,0.032475678,1.0330087679991717,ENSG00000147601
1.18065e-06,-0.090623012,0.9133619725072326,ENSG00000166333
1.0,0.050919775,1.0522384740654014,ENSG00000261609
1.0,-0.038583301,0.9621515532149785,ENSG00000111206
1.70058e-13,-0.106105974,0.8993293374985796,ENSG00000179262
1.0,0.004452066,1.0044619911695378,ENSG00000115392
1.0,0.000564296,1.0005644552449402,ENSG00000089050
1.0,0.005882147,1.0058994807966455,ENSG00000127445
1.0,-0.037764615,0.9629395757489678,ENSG00000197943
1.0,-0.001899862,0.9981019415954346,ENSG00000042088
1.0,0.031116422,1.0316055984825472,ENSG00000204256
1.0,-0.054580854,0.9468819465697751,ENSG00000230124
1.0,-0.014983677,0.9851280197164903,ENSG00000221838
1.0,0.013891319,1.0139882516927017,ENSG00000151929
1.28049e-13,-0.116877525,0.8896941517821613,ENSG00000111361
1.0,-0.015838081,0.9842866818683258,ENSG00000119042
9.92214e-22,-0.135423271,0.8733461713360827,ENSG00000277586
1.0,0.007016467,1.0070411400767674,ENSG00000147465
1.34026e-09,0.086667157,1.090533642815208,ENSG00000160200
6.46047e-05,0.064894723,1.0670466829971683,ENSG00000160202
2.30155e-35,-0.157805324,0.8540160222096038,ENSG00000198931
1.0,-0.038665138,0.9620728168401363,ENSG00000169093
1.0,-0.012618689,0.9874605928280866,ENSG00000103266
2.78675e-36,-0.16972103,0.843900206602118,ENSG00000111674
1.0,-0.025349113,0.9749694780874296,ENSG00000105229
8.52844e-08,-0.06751057,0.9347178405962366,ENSG00000110324
7.69458e-23,-0.133496728,0.8750303320721792,ENSG00000168610
1.0,0.01401218,1.0141108107329444,ENSG00000125347
1.0,-0.052212747,0.9491269214568545,ENSG00000168610
1.51983e-08,-0.072660949,0.9299160655542545,ENSG00000177606
1.0,0.017661098,1.0178179773844978,ENSG00000089127
1.0,0.007284583,1.0073111801184904,ENSG00000136997
1.0,-0.057364725,0.9442496151139307,ENSG00000166949
1.58571e-11,-0.103650826,0.9015400368094143,ENSG00000175387
1.0,-0.00680711,0.9932160058927283,ENSG00000134853
1.0,-0.007106062,0.9929191263599108,ENSG00000115415
1.0,-0.023074317,0.9771898592559222,ENSG00000166888
0.060860264,0.051087077,1.0524145303934667,ENSG00000132855
0.308084416,-0.057539443,0.9440846521210989,ENSG00000183579
1.0,0.011574442,1.0116416850369232,ENSG00000132855
1.0,0.034146009,1.0347356764204607,ENSG00000143384
1.0,0.006652017,1.006674190804659,ENSG00000148677
3.21377e-06,0.055155246,1.056704651112431,ENSG00000117758
4.75154e-09,0.089010811,1.0930924736851844,ENSG00000168079
1.13866e-11,-0.08977558,0.9141363127243174,ENSG00000158234
1.0,-0.012226494,0.9878479458892926,ENSG00000107281
1.0,0.029606042,1.0300486581004986,ENSG00000158470
0.060964737,-0.042757433,0.958143775942618,ENSG00000108433
1.0,0.009151864,1.0091938703550296,ENSG00000168003
0.046857711,0.050189898,1.0514707496109585,ENSG00000138944
1.0,0.036124012,1.036784412227441,ENSG00000038002
1.0,0.002074921,1.0020770751382093,ENSG00000198223
1.0,0.039002816,1.0397734116479624,ENSG00000240038
1.0,-0.008323159,0.9917113825897236,ENSG00000166250
1.0,-0.001638142,0.9983631990222446,ENSG00000160472
0.370795939,-0.039662005,0.9611142360655838,ENSG00000204444
1.0,-0.057832526,0.9438079975023644,ENSG00000151846
1.99524e-23,-0.11461338,0.8917108305124628,ENSG00000180730
1.0,0.022436086,1.0226896678881248,ENSG00000104805
1.0,-0.011677862,0.9883900595804032,ENSG00000273777
1.0,-0.02947426,0.9709558697236316,ENSG00000116138
1.0,0.023165354,1.0234357547524178,ENSG00000204671
0.167619803,0.051672647,1.0530309732376328,ENSG00000115607
1.0,0.008902588,1.0089423338961068,ENSG00000133063
1.0,0.029730686,1.0301770554872547,ENSG00000172410
0.004362719,-0.05962367,0.9421190145278956,ENSG00000163295
1.99903e-06,-0.079075536,0.9239701288014289,ENSG00000169604
1.0,-0.029353179,0.9710734411489828,ENSG00000153066
1.27043e-12,-0.079710847,0.9233833068418907,ENSG00000157873
1.0,0.02608419,1.026427359755326,ENSG00000160181
1.0,0.019190606,1.0193759292696651,ENSG00000166670
1.0,0.027992359,1.0283878264800217,ENSG00000085063
0.223102035,-0.042374833,0.9585104318881034,ENSG00000147381
1.0,-0.028667104,0.9717398989539966,ENSG00000163902
1.0,0.042476136,1.0433911565900142,ENSG00000016490
0.00557911,-0.065777607,0.9363390763945202,ENSG00000184988
1.0,0.026075033,1.026417960803026,ENSG00000108375
1.0,-0.042587235,0.9583068639752307,ENSG00000164040
1.0,0.007808387,1.0078389519563138,ENSG00000134940
0.721161612,0.047666586,1.0488209054485886,ENSG00000161929
1.0,-0.027701014,0.9726791407759912,ENSG00000163359
1.0,0.006302256,1.0063221570004455,ENSG00000100368
1.0,-0.005750677,0.9942658264924066,ENSG00000115041
1.0,0.026081983,1.0264250944326427,ENSG00000107317
1.0,0.000104052,1.000104057413597,ENSG00000162576
1.0,-0.022894664,0.9773654301161507,ENSG00000135829
1.0,0.000869808,1.00087018639268,ENSG00000015413
1.0,0.025386345,1.0257113224250514,ENSG00000142507
2.29601e-25,0.107773774,1.1137957473265512,ENSG00000213281
1.0,-0.022878662,0.9773810700428981,ENSG00000143799
1.0,-0.002185229,0.9978171568746808,ENSG00000156885
1.0,0.002544481,1.0025477209391849,ENSG00000102181
7.87261e-08,-0.079686964,0.923405360268758,ENSG00000175894
0.08708603,-0.047053406,0.9540364449594156,ENSG00000138696
1.0,0.004235081,1.0042440616289596,ENSG00000213658
1.0,-0.017045002,0.9830994421983204,ENSG00000183542
1.0,0.013918744,1.0140160607018338,ENSG00000169905
1.0,0.009919643,1.0099690057438762,ENSG00000170266
1.0,0.015325577,1.0154436158889835,ENSG00000153495
0.308418297,-0.049447136,0.9517554704077842,ENSG00000184226
1.0,0.004977164,1.0049895706555212,ENSG00000135916
0.162245448,-0.040819406,0.9600024849826612,ENSG00000159527
0.003444735,0.065282452,1.0674604881574665,ENSG00000171208
0.026037461,0.053964486,1.055447118340523,ENSG00000176018
2.79697e-22,0.126333953,1.1346610284731973,ENSG00000121871
1.0,0.054307286,1.0558089876335432,ENSG00000117122
1.0,0.00963711,1.009683696477316,ENSG00000131446
1.0,-0.016859996,0.9832813383191417,ENSG00000125815
1.0,-0.011258888,0.9888042560799489,ENSG00000166710
0.188989034,0.046924055,1.0480424124761962,ENSG00000179950
1.0,0.027306845,1.0276830938071948,ENSG00000120594
1.0,0.029328587,1.0297629055936295,ENSG00000196260
1.0,-0.006026119,0.9939920016377899,ENSG00000185900
1.0,0.019977055,1.020177931775561,ENSG00000144868
1.0,0.0321688,1.0326918089708295,ENSG00000164258
1.0,0.01212774,1.0122015792378578,ENSG00000115525
1.0,0.030237285,1.030699074369345,ENSG00000155918
1.0,-0.01815634,0.9820074933049624,ENSG00000153132
0.001989942,-0.043676913,0.9572631868076039,ENSG00000205649
0.896144246,0.058028109,1.0597447836577547,ENSG00000101474
1.0,-0.015617397,0.9845039221602738,ENSG00000143337
1.0,0.034055405,1.0346419294762224,ENSG00000126550
1.32849e-14,-0.100932436,0.9039941082805237,ENSG00000106397
5.77984e-15,-0.07418432,0.9285005368489914,ENSG00000166734
1.0,-0.029647646,0.9707875341631401,ENSG00000158887
1.0,0.048611102,1.0498120015543033,ENSG00000114631
1.0,0.005020469,1.005033092671232,ENSG00000081479
1.0,0.020379584,1.0205886656388605,ENSG00000263639
4.37078e-05,-0.078921983,0.9241120180801002,ENSG00000184838
1.0,-0.015660063,0.9844619182120076,ENSG00000185499
1.0,0.017882455,1.0180433034563494,ENSG00000214510
1.0,0.004159988,1.0041686527610143,ENSG00000184005
3.39146e-11,-0.085527331,0.9180280520865882,ENSG00000084234
1.0,-0.020275176,0.9799289832644449,ENSG00000109854
2.20969e-15,-0.098764793,0.9059557701045388,ENSG00000164040
1.0,0.028406255,1.0288135601865118,ENSG00000163606
0.302286112,-0.042635633,0.9582604849619628,ENSG00000116299
1.0,0.011345489,1.011410093151049,ENSG00000092330
1.0,-0.015236117,0.9848793653856632,ENSG00000118733
8.296e-16,0.086336373,1.0901729713901598,ENSG00000138303
1.0,0.021099106,1.021323265885565,ENSG00000186480
1.0,-0.007882199,0.9921487840721817,ENSG00000090581
0.9158817,0.042567556,1.043486547769814,ENSG00000204006
1.0,0.009043895,1.00908491458407,ENSG00000103496
1.0,-0.019481982,0.9807065654003703,ENSG00000170381
3.22996e-07,0.074921752,1.0777998119053143,ENSG00000168878
2.00215e-06,-0.063841588,0.938153602548655,ENSG00000213593
4.47498e-22,-0.115828179,0.8906282387860754,ENSG00000065518
1.0,-0.003428599,0.9965772719339421,ENSG00000188883
1.0,0.019816747,1.0200144021995738,ENSG00000182931
0.000379896,0.050699022,1.0520062149024327,ENSG00000123384
1.0,-0.002293239,0.9977093884637045,ENSG00000144847
1.0,-0.004644916,0.995365854939168,ENSG00000215018
1.0,-0.023858832,0.9764235397873504,ENSG00000111707
1.0,-0.002376943,0.9976258796921104,ENSG00000118308
1.0,0.043228849,1.0441768263324838,ENSG00000184005
1.0,0.009794348,1.00984246960464,ENSG00000125787
1.0,0.028162825,1.028563146581884,ENSG00000186075
0.008175472,0.060802662,1.0626891845357629,ENSG00000178789
1.0,-0.021780822,0.9784546672880041,ENSG00000159640
0.015647107,0.058813162,1.06057706612958,ENSG00000095261
0.006791812,0.05474583,1.0562721078720947,ENSG00000204389
1.0,-0.006813034,0.9932101220985371,ENSG00000165025
1.0,0.031346061,1.0318425225630403,ENSG00000249853
5.39822e-11,-0.077264762,0.9256447456061488,ENSG00000154252
1.0,-0.010695073,0.9893619159453163,ENSG00000021355
2.14508e-10,-0.070660579,0.9317781035158369,ENSG00000140092
1.0,0.035403421,1.0360375838222793,ENSG00000184371
5.86662e-08,0.07837479,1.0815279285721353,ENSG00000178235
1.0,0.010861113,1.0109203090051877,ENSG00000050165
2.486e-12,0.107934211,1.1139744557102,ENSG00000112852
1.27223e-10,0.08164206,1.0850673513035485,ENSG00000204389
1.82867e-19,0.106649003,1.1125436864429206,ENSG00000166446
1.0,0.006341078,1.0063612251975724,ENSG00000069206
0.006957038,-0.026664054,0.9736882932727694,ENSG00000163421
1.0,0.028248872,1.0286516551628524,ENSG00000178473
1.0,0.014363765,1.0144674195678212,ENSG00000139330
6.98443e-11,0.103110106,1.1086134673506458,ENSG00000152578
1.0,-0.01486881,0.9852411849160801,ENSG00000086598
1.33974e-14,0.103664051,1.1092277483610566,ENSG00000188883
1.0,-0.014705848,0.9854017548731018,ENSG00000173698
1.0,-0.003699276,0.9963075578920475,ENSG00000169826
1.0,0.017358332,1.0175098633523372,ENSG00000105514
1.45022e-08,0.061297156,1.0632148079094723,ENSG00000182566
0.095377051,0.059791665,1.0616153518705314,ENSG00000162763
1.0,0.041163922,1.0420229020245926,ENSG00000186407
1.0,-0.034830724,0.9657688839151942,ENSG00000149257
5.80974e-09,-0.072256618,0.9302921354701953,ENSG00000099617
1.31699e-08,0.07582237,1.078770935056167,ENSG00000204389
1.0,0.007317651,1.0073444904353441,ENSG00000111796
0.000346967,-0.047493573,0.9536166020068323,ENSG00000158477
1.0,0.017692433,1.017849871210513,ENSG00000130956
1.0,0.017248761,1.0173983798868889,ENSG00000085514
1.26956e-13,-0.082700661,0.9206266854497941,ENSG00000196860
0.007584339,0.072391852,1.0750765324260574,ENSG00000166311
1.0,0.005364884,1.0053793007600516,ENSG00000077942
0.002352674,0.062853929,1.0648712810574177,ENSG00000176834
1.0,0.02035133,1.0205598303340597,ENSG00000220008
1.0,0.029595004,1.0300372884861595,ENSG00000159658
0.79951875,0.033635411,1.034207477313731,ENSG00000118276
1.0,0.024126049,1.024419436798385,ENSG00000164161
1.0,0.005295077,1.0053091206967617,ENSG00000118017
1.0,-0.001990484,0.9980114956995393,ENSG00000176928
1.0,-0.024723612,0.975579513239852,ENSG00000197046
1.0,0.029090168,1.0295174198168402,ENSG00000168903
3.44219e-09,0.087045445,1.0909462566443908,ENSG00000105246
0.532884031,-0.063928899,0.9380716949952301,ENSG00000152795
3.43365e-25,-0.127558476,0.8802419413014638,ENSG00000176928
0.039701585,-0.051968434,0.9493588338308668,ENSG00000196576
1.0,-0.043743501,0.9571994466887078,ENSG00000100796
0.000152312,-0.08048318,0.9226704227697509,ENSG00000021574
1.0,-0.027159512,0.9732059911084602,ENSG00000106009
3.27788e-23,-0.134936888,0.8737710553867492,ENSG00000196990
1.0,-0.01955357,0.9806363610916894,ENSG00000134765
1.0,-8.93912e-05,0.9999106127952744,ENSG00000198663
1.0,-0.034695357,0.9658996260005854,ENSG00000135324
1.0,-0.03071254,0.9697542985835603,ENSG00000188501
1.0,-0.016736612,0.9834026669886432,ENSG00000145623
1.0,0.028160605,1.0285608631742333,ENSG00000079689
1.0,0.006369516,1.0063898445050306,ENSG00000185873
1.0,0.012191965,1.0122665899719192,ENSG00000104435
1.0,-0.000886764,0.9991136290590038,ENSG00000244617
1.0,-0.024214019,0.9760767884239576,ENSG00000170310
8.24972e-07,-0.075375973,0.9273947453894641,ENSG00000182667
0.602649712,-0.051820043,0.9494997205904828,ENSG00000144278
1.0,0.014741352,1.0148505416037719,ENSG00000105352
1.0,0.021111297,1.0213357169133945,ENSG00000153246
