Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Alcoholic liver disease,A1BG,Alpha-1B-glycoprotein,43311,131,3.82 [1.41-10.37],0.0084514474422056
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AAMDC,Mth938 domain-containing protein,42091,120,0.83 [0.60-1.16],0.2810984731568456
Chapter XI Diseases of the digestive system,Alcoholic liver disease,AARSD1,Alanyl-tRNA editing protein Aarsd1,49510,148,1.09 [0.84-1.41],0.5284974568990481
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ABCA2,ATP-binding cassette sub-family A member 2,41817,121,2.72 [2.06-3.61],2.7291307078559666e-12
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ABHD14B,Protein ABHD14B,49195,142,0.95 [0.73-1.24],0.7041034489720626
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ABL1,Tyrosine-protein kinase ABL1,49510,148,0.95 [0.76-1.18],0.6192565712765885
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ABO,Histo-blood group ABO system transferase,43282,131,1.06 [0.94-1.19],0.3231068217063182
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ABRAXAS2,BRISC complex subunit Abraxas 2,41817,121,0.86 [0.66-1.12],0.2701306383454228
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",48578,144,2.44 [2.18-2.73],1.8334444177498555e-55
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",42463,126,1.10 [0.88-1.37],0.3969308712234445
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",43249,127,1.18 [0.98-1.41],0.0755713712383398
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACAN,Aggrecan core protein,49256,150,1.52 [0.91-2.54],0.1068834338130016
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACE,Angiotensin-converting enzyme,43282,131,2.04 [1.11-3.73],0.0209964050623212
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACE2,Angiotensin-converting enzyme 2,48828,141,4.38 [3.69-5.20],1.7137092332743594e-63
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACHE,Acetylcholinesterase,42307,127,3.92 [3.01-5.12],8.627415238124424e-24
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACOT13,Acyl-coenzyme A thioesterase 13,43071,128,1.08 [0.94-1.25],0.275887952334217
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,49731,150,1.24 [0.96-1.60],0.1050454893815581
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACP1,Low molecular weight phosphotyrosine protein phosphatase,41993,123,0.52 [0.33-0.80],0.0031415246397827
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACP5,Tartrate-resistant acid phosphatase type 5,49945,149,3.77 [3.10-4.58],3.0446651030689996e-40
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACP6,Lysophosphatidic acid phosphatase type 6,50086,151,1.09 [0.88-1.37],0.4269187230274653
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACRBP,Acrosin-binding protein,43049,127,1.03 [0.67-1.58],0.905855993697319
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACRV1,Acrosomal protein SP-10,41993,123,1.04 [0.86-1.25],0.6947030409300023
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ACSL1,Long-chain-fatty-acid--CoA ligase 1,41817,121,1.16 [0.75-1.80],0.5131813953914666
