Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,A1BG,Alpha-1B-glycoprotein,44808,628,1.72 [1.09-2.70],0.0193397284096985
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AAMDC,Mth938 domain-containing protein,43550,617,1.16 [1.01-1.34],0.038686859882136
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AARSD1,Alanyl-tRNA editing protein Aarsd1,51227,734,1.03 [0.92-1.16],0.5852531659142735
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ABCA2,ATP-binding cassette sub-family A member 2,43272,611,1.61 [1.33-1.93],5.481070625502369e-07
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ABHD14B,Protein ABHD14B,50901,726,1.07 [0.96-1.20],0.2354401300929978
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ABL1,Tyrosine-protein kinase ABL1,51227,734,1.16 [1.06-1.28],0.0012052478262414
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ABO,Histo-blood group ABO system transferase,44780,630,1.05 [1.00-1.11],0.0528950777424708
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ABRAXAS2,BRISC complex subunit Abraxas 2,43272,611,1.02 [0.90-1.14],0.7910888235471997
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",50249,720,1.65 [1.55-1.76],1.527608471269246e-54
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",43926,615,1.10 [1.00-1.22],0.0517872153575876
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",44738,627,1.07 [0.98-1.16],0.1237796153655036
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACAN,Aggrecan core protein,50970,733,0.83 [0.66-1.04],0.110112181257408
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACE,Angiotensin-converting enzyme,44780,630,1.12 [0.85-1.48],0.4293909338245607
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACE2,Angiotensin-converting enzyme 2,50517,724,2.19 [2.01-2.39],7.721016223132704e-70
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACHE,Acetylcholinesterase,43761,617,1.48 [1.20-1.83],0.0003001488758372
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACOT13,Acyl-coenzyme A thioesterase 13,44550,622,1.08 [1.01-1.15],0.0299468504176606
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,51461,742,1.11 [0.98-1.25],0.09347063555984
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACP1,Low molecular weight phosphotyrosine protein phosphatase,43445,603,0.80 [0.67-0.96],0.0148607164087256
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACP5,Tartrate-resistant acid phosphatase type 5,51685,748,2.15 [1.85-2.51],4.541486129205284e-23
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACP6,Lysophosphatidic acid phosphatase type 6,51824,745,1.08 [0.98-1.20],0.1126643106994702
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACRBP,Acrosin-binding protein,44533,623,1.16 [0.96-1.39],0.1311430036065981
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACRV1,Acrosomal protein SP-10,43445,603,1.05 [0.95-1.15],0.3681169772946977
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACSL1,Long-chain-fatty-acid--CoA ligase 1,43272,611,0.98 [0.79-1.22],0.8622261927505399
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACTA2,"Actin, aortic smooth muscle",50517,724,1.14 [0.99-1.31],0.0724899265836544
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACTN2,Alpha-actinin-2,43272,611,1.07 [0.94-1.21],0.2900734306439884
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACTN4,Alpha-actinin-4,50494,726,1.18 [0.98-1.42],0.0729345281381711
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACVRL1,Serine/threonine-protein kinase receptor R3,50977,726,1.40 [1.08-1.80],0.0099622126155319
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACY1,Aminoacylase-1,51461,742,2.35 [2.16-2.56],1.894805626978839e-89
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,43272,611,1.91 [1.71-2.14],5.049291895752853e-29
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ACYP1,Acylphosphatase-1,43597,615,1.08 [0.96-1.21],0.188705147919289
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADA,Adenosine deaminase,52026,747,1.43 [1.21-1.69],2.5162878594242343e-05
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADA2,Adenosine deaminase 2,51162,744,1.87 [1.63-2.14],3.4099016705977904e-19
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,43445,603,1.38 [1.15-1.64],0.0004119559204509
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,50517,724,1.46 [1.18-1.80],0.0004626219042859
