n_estimators	max_features	max_depth	min_sample_leaf	r2
100	sqrt		1	0.06344994347509836
100	sqrt		4	0.09825687000041605
100	sqrt	10.0	1	0.08382179772275655
100	sqrt	10.0	4	0.09100519262495632
100	sqrt	20.0	1	0.07807009369953699
100	sqrt	20.0	4	0.09525201269293393
100	log2		1	0.050028722845461226
100	log2		4	0.08527815797715466
100	log2	10.0	1	0.08805078020954182
100	log2	10.0	4	0.08950136747767012
100	log2	20.0	1	0.0799669401506361
100	log2	20.0	4	0.09398976904270706
100			1	0.06028922002636494
100			4	0.07544257904063056
100		10.0	1	0.07312833094620708
100		10.0	4	0.07847915444904385
100		20.0	1	0.06472467797130932
100		20.0	4	0.0747734692712263
200	sqrt		1	0.07691729751617682
200	sqrt		4	0.09948967376084206
200	sqrt	10.0	1	0.0913419649301015
200	sqrt	10.0	4	0.09694870169852243
200	sqrt	20.0	1	0.08118375556000501
200	sqrt	20.0	4	0.09813473579554322
200	log2		1	0.0743962544671527
200	log2		4	0.09239659096141783
200	log2	10.0	1	0.0903804869401923
200	log2	10.0	4	0.094621701704805
200	log2	20.0	1	0.09733771607147168
200	log2	20.0	4	0.09974932036481488
200			1	0.06975652846684255
200			4	0.08198987190525142
200		10.0	1	0.08175879729337465
200		10.0	4	0.0853770192574973
200		20.0	1	0.07776037001345937
200		20.0	4	0.08266212239878956
500	sqrt		1	0.08209284800125083
500	sqrt		4	0.09962346469322036
500	sqrt	10.0	1	0.09657099391526325
500	sqrt	10.0	4	0.09475863351844671
500	sqrt	20.0	1	0.09160485484286673
500	sqrt	20.0	4	0.09985360314959879
500	log2		1	0.07918781636989713
500	log2		4	0.09668378428029045
500	log2	10.0	1	0.0971051097601755
500	log2	10.0	4	0.09757604020938948
500	log2	20.0	1	0.09936476743178368
500	log2	20.0	4	0.10102764621311111
500			1	0.07112706386512269
500			4	0.08447264144175748
500		10.0	1	0.08483079057729292
500		10.0	4	0.0870043162432157
500		20.0	1	0.07776007716456934
500		20.0	4	0.08561005777270958
