cell_tissue	score	fold
vascular_fibroblasts	0.05578634808854588	0
thymus_macrophages	0.014027565948606546	0
adipose.tissue_monocytes	0.008015759391695187	0
adipose.tissue_macrophages	0.010851499286071209	0
kidney_macrophages	0.015720505419488773	0
vascular_macrophages	0.04475606784125219	0
fallopian.tube_macrophages	0.019838820867449036	0
spleen_macrophages	0.027729525306717684	0
thymus_fibroblasts	0.023732424688652	0
endometrium_macrophages	0.017092164474127203	0
ovary_endothelial.cells	0.020468708870695296	0
placenta_hofbauer.cells	0.03148678910267766	0
prostate_macrophages	0.018005149134161957	0
endometrium_endothelial.cells	0.021299549240989202	0
placenta_smooth.muscle.cells	0.03849593723607936	0
pancreas_endothelial.cells	0.032451765478919925	0
skeletal.muscle_macrophages	0.015309714607943392	0
pancreas_fibroblasts	0.05953369886947579	0
salivary.gland_fibroblasts	0.03349130197289052	0
fallopian.tube_endothelial.cells	0.047608879507384905	0
thymus_smooth.muscle.cells	0.014951868462180329	0
lung_macrophages	0.012892404101058852	0
esophagus_endothelial.cells	0.01985328077027948	0
pancreas_macrophages	0.017784905038222165	0
vascular_endothelial.cells	0.02178801867886082	0
small.intestine_proximal.enterocytes	0.10054409024927857	0
lung_fibroblasts	0.0310802524176087	0
thymus_endothelial.cells	0.029245171635202905	0
esophagus_macrophages	0.005274453211805641	0
adipose.tissue_fibroblasts	0.011459332050009041	0
prostate_endothelial.cells	0.024030295607352925	0
stomach_fibroblasts	0.049549915876273665	0
skin_fibroblasts	0.018227244510406138	0
lung_endothelial.cells	0.01312090732197535	0
fallopian.tube_plasma.cells	0.006297732469834227	0
skin_langerhans.cells	0.011598776943372524	0
bone.marrow_macrophages	0.008358489472595765	0
breast_fibroblasts	0.020361210081667802	0
salivary.gland_plasma.cells	0.03280793327244702	0
fallopian.tube_fibroblasts	0.012658753920477883	0
testis_macrophages	0.015508035189845226	0
esophagus_plasma.cells	0.006772523846554801	0
ovary_lymphatic.endothelial.cells	0.008014319221938737	0
liver_kupffer.cells	0.02098531794715064	0
breast_endothelial.cells	0.008697178746916334	0
endometrium_smooth.muscle.cells	0.03271705058873897	0
vascular_fibroblasts	0.06330119789448829	0
thymus_macrophages	0.01632223339187877	0
adipose.tissue_monocytes	0.009774183607031195	0
adipose.tissue_macrophages	0.01149049285880921	0
kidney_macrophages	0.026981176571895804	0
vascular_macrophages	0.04776282821192124	0
fallopian.tube_macrophages	0.020969699472256242	0
spleen_macrophages	0.027434550951771164	0
thymus_fibroblasts	0.02737962741888389	0
endometrium_macrophages	0.017822350540038667	0
ovary_endothelial.cells	0.020904390578885823	0
placenta_hofbauer.cells	0.023274179827851738	0
prostate_macrophages	0.01807191570526656	0
endometrium_endothelial.cells	0.01906969013825044	0
placenta_smooth.muscle.cells	0.0431166902614496	0
pancreas_endothelial.cells	0.033600582072286	0
skeletal.muscle_macrophages	0.016870117796646156	0
pancreas_fibroblasts	0.06444502345122871	0
salivary.gland_fibroblasts	0.03752406293655697	0
fallopian.tube_endothelial.cells	0.03797854450530158	0
thymus_smooth.muscle.cells	0.015521517048105893	0
lung_macrophages	0.014387076685228206	0
esophagus_endothelial.cells	0.018724101311233254	0
pancreas_macrophages	0.019340492488456262	0
vascular_endothelial.cells	0.024716648250341477	0
small.intestine_proximal.enterocytes	0.13354592152213896	0
lung_fibroblasts	0.03806990597806381	0
thymus_endothelial.cells	0.026551619525508552	0
esophagus_macrophages	0.00675652360744905	0
adipose.tissue_fibroblasts	0.011163479861957093	0
prostate_endothelial.cells	0.02598694637443466	0
stomach_fibroblasts	0.05434254569286945	0
skin_fibroblasts	0.017993892629844632	0
lung_endothelial.cells	0.013387017910960641	0
fallopian.tube_plasma.cells	0.006295798131952357	0
skin_langerhans.cells	0.009116538806870023	0
bone.marrow_macrophages	0.009749627173149755	0
breast_fibroblasts	0.018113266435027198	0
salivary.gland_plasma.cells	0.036300922040177874	0
fallopian.tube_fibroblasts	0.013274473271383092	0
testis_macrophages	0.019103289432869208	0
esophagus_plasma.cells	0.002278493084969191	0
ovary_lymphatic.endothelial.cells	0.010217653886560929	0
liver_kupffer.cells	0.024890022140639734	0
breast_endothelial.cells	0.010750578800859611	0
endometrium_smooth.muscle.cells	0.030082782301067645	0
vascular_fibroblasts	0.06623624311754772	0
thymus_macrophages	0.01452931407816338	0
adipose.tissue_monocytes	0.011997254990189998	0
adipose.tissue_macrophages	0.014503126223402774	0
kidney_macrophages	0.03398798996011476	0
vascular_macrophages	0.06271091757966063	0
fallopian.tube_macrophages	0.01918116160023131	0
spleen_macrophages	0.04744473309516273	0
thymus_fibroblasts	0.02679579431665058	0
endometrium_macrophages	0.01969938635504842	0
ovary_endothelial.cells	0.01962286637887567	0
placenta_hofbauer.cells	0.04651243325978549	0
prostate_macrophages	0.024886963006524154	0
endometrium_endothelial.cells	0.027110947939413932	0
placenta_smooth.muscle.cells	0.043742632907986745	0
pancreas_endothelial.cells	0.027174809072363693	0
skeletal.muscle_macrophages	0.01324486970256955	0
pancreas_fibroblasts	0.0683130704501903	0
salivary.gland_fibroblasts	0.04125835222063812	0
fallopian.tube_endothelial.cells	0.04280289321948916	0
thymus_smooth.muscle.cells	0.015098428394398788	0
lung_macrophages	0.01199900021633804	0
esophagus_endothelial.cells	0.020425379969078672	0
pancreas_macrophages	0.025104076174377155	0
